Date,Time (utc),Region,Magnitude,Depth (km),Latitude,Longitude,Mode,Map
23/02/2023,22:59:31,Tajikistan-Xinjiang Border Region,3.8,121,38.02 N,73.45 N,M,-
23/02/2023,16:10:44,Turkmenistan-Iran Border Region,5.0,230,36.02 N,60.29 E,M,-
23/02/2023,14:21:38,Tajikistan-Xinjiang Border Region,4.3,90,38.14 N,73.47 E,M,-
23/02/2023,08:01:09,Tajikistan,4.7,141,38.19 N,72.96 E,M,-
23/02/2023,02:18:04,Tajikistan-Xinjiang Border Region,5.0,118,38.34 N,73.25 E,M,-
23/02/2023,02:07:45,Tajikistan-Xinjiang Border Region,5.1,140,38.16 N,73.56 E,M,-
23/02/2023,01:35:59,Tajikistan-Xinjiang Border Region,5.3,132,38.35 N,73.30 E,M,-
23/02/2023,00:55:20,Tajikistan-Xinjiang Border Region,5.5,120,38.24 N,73.41 E,M,-
23/02/2023,00:37:15,Tajikistan,6.6,301,37.53 N,73.02 E,M,-
22/02/2023,10:25:53,"Southern Xinjiang, China",4.9,70,41.98 N,82.24 E,M,-
22/02/2023,01:11:08,Southern Iran,5.1,78,27.72 N,55.41 E,A,-
21/02/2023,09:57:15,Southeastern Afghanistan,3.5,116,34.25 N,69.22 E,M,-
21/02/2023,06:05:40,Southern Iran,5.3,41,27.79 N,55.35 e,A,-
20/02/2023,20:16:39,Mid Indian Ridge,5.0,75,12.65 S,66.31 E,A,-
20/02/2023,09:45:25,Tajikistan,4.1,137,37.25 N,72.02 E,M,-
19/02/2023,07:22:00,"Hindu Kush Region,Afghanistan",3.7,145,36.54 N,70.38 E,M,-
19/02/2023,05:44:20,"30 Km SW of Kharan, Balochistan",3.9,18,28.41 N,65.18 E,M,-
19/02/2023,02:51:48,"Hindu Kush Region,Afghanistan",3.6,173,36.73 N,70.59 E,M,-
18/02/2023,23:27:49,13 Km NE of Balakot,3.2,15,34.64 N,73.45 E,M,-
18/02/2023,22:02:15,"Hindu Kush Region,Afghanistan",3.4,121,36.36 N,70.93 E,M,-
18/02/2023,13:23:01,"Hindu Kush Region,Afghanistan",4.0,183,36.63 N,70.94 E,M,-
18/02/2023,02:05:11,Afghanistan-Tajikistan Border Region,3.8,228,36.34 N,71.26 E,M,-
17/02/2023,14:59:03,Afghanistan-Tajikistan Border Region,4.2,110,36.60 N,71.40 E,M,-
17/02/2023,01:48:20,Tajikistan,4.4,138,37.46 N,72.18 E,M,-
17/02/2023,01:18:26,Afghanistan-Tajikistan Border Region,3.9,139,37.33 N,71.65 E,M,-
16/02/2023,18:17:20,Afghanistan-Tajikistan Border Region,5.7,113,37.42 N,70.47 E,M,-
16/02/2023,10:32:51,Tajikistan,4.1,80,38.57 N,72.78 E,M,-
14/02/2023,21:14:38,Afghanistan-Tajikistan Border Region,3.5,154,36.52 N,70.92 E,M,-
14/02/2023,17:36:57,Afghanistan-Tajikistan Border Region,3.8,178,36.45 N,71.20 E,M,-
14/02/2023,15:37:29,Afghanistan-Tajikistan Border Region,5.4,233,36.53 N,71.04 E,M,-
14/02/2023,13:58:29,Southwestern Kashmir,3.2,35,33.14 N,74.58 E,M,-
14/02/2023,13:05:11,Afghanistan-Tajikistan Border Region,4.0,160,36.35 N,72.41 E,M,-
14/02/2023,03:30:43,Afghanistan-Tajikistan Border Region,3.9,134,36.52 N,71.25 E,M,-
13/02/2023,19:28:28,Tajikistan,4.5,150,37.96 N,72.60 E,M,-
13/02/2023,18:38:50,"Qinghai, China",4.7,57,38.96 N,92.67 E,A,-
13/02/2023,02:59:49,"Hindu Kush Region,Afghanistan",3.8,157,36.55 N,70.48 E,M,-
13/02/2023,02:51:26,Northwestern Kashmir,2.4,12,35.37 N,70.08 E,M,-
13/02/2023,01:17:54,Afghanistan-Tajikistan Border Region,4.2,129,36.53 N,71.48 E,M,-
12/02/2023,09:01:13,24 Km West of Kolachi,4.2,23,31.91 N,70.20 E,M,-
10/02/2023,15:31:47,70 Km SE of Chitral,3.7,14,35.63 N,72.51 E,M,-
10/02/2023,15:13:08,"Hindu Kush Region,Afghanistan",4.1,130,36.56 N,70.90 E,M,-
10/02/2023,05:24:13,Kyrgystan,4.3,119,41.09 N,74.27 E,M,-
10/02/2023,04:46:49,Tajikistan-Xinjiang Border Region,4.2,97,38.48 N,73.11 E,M,-
10/02/2023,04:40:52,Afghanistan-Tajikistan Border Region,4.5,193,36.75 N,71.16 E,M,-
10/02/2023,03:00:58,Afghanistan-Tajikistan Border Region,3.7,176,36.61 N,71.09 E,M,-
09/02/2023,20:12:59,"Hindu Kush Region,Afghanistan",4.8,224,36.09 N,68.79 E,M,-
08/02/2023,16:56:03,"10 Km East of Mastung, Balochistan",4.0,13,29.80 N,66.95 E,M,-
07/02/2023,15:17:44,"Hindu Kush Region,Afghanistan",4.7,291,36.20 N,70.87 E,M,-
06/02/2023,10:51:38,Turkey,6.6,54,38.23 N,38.09 E,A,-
06/02/2023,10:36:00,Turkey,6.4,57,38.04 N,37.66 E,A,-
06/02/2023,10:24:53,Turkey,7.3,62,38.13 N,37.22 E,A,-
06/02/2023,05:18:26,14 Km North of Kallar Kahar,3.8,8,32.90 N,72.67 E,M,-
04/02/2023,12:23:21,Tajikistan,5.0,272,37.38 N,73.02 E,M,-
04/02/2023,12:23:21,Tajikistan,5.0,252,37.42 N,73.02 E,M,-
04/02/2023,10:47:33,Afghanistan-Tajikistan Border Region,3.9,181,36.33 N,71.32 E,M,-
04/02/2023,03:37:22,Afghanistan-Tajikistan Border Region,4.5,203,36.52 N,71.14 E,M,-
03/02/2023,22:18:40,Kashmir-Xizang Border Region,3.2,47,36.98 N,75.20 E,M,-
03/02/2023,21:22:55,"Hindu Kush Region,Afghanistan",4.8,180,36.46 N,70.80 E,M,-
03/02/2023,21:22:53,"Hindu Kush Region,Afghanistan",5.2,214,36.25 N,70.79 E,M,-
03/02/2023,20:49:55,Turkey,4.9,59,36.68 N,35.54 E,A,-
02/02/2023,17:44:54,"Hindu Kush Region,Afghanistan",4.1,114,36.53 N,170.75 E,M,-
02/02/2023,03:44:26,56 KM Northeast of Bela Baluchistan,4.3,41,26.67 N,66.67 E,M,-
01/02/2023,10:44:45,"Mindanao, Philippines",6.1,54,7.74 N,126.15 E,A,-
31/01/2023,04:49:01,Myanmar-India Border Region,4.8,25,24.82 N,94.27 E,A,-
30/01/2023,17:07:49,Kashmir-Xizang Border Region,5.5,87,35.80 N,79.93 E,A,-
29/01/2023,23:49:39,"Southern Xinjiang, China",6.0,78,39.99 N,82.20 E,A,-
29/01/2023,07:54:46,22 Km East of Fatehjang,4.8,11,33.58 N,72.89 E,M,-
27/01/2023,05:42:00,"40 Km West of Mehar, Sindh",3.7,16,27.29 N,67.43 E,M,-
26/01/2023,01:41:47,"Hindu Kush Region,Afghanistan",4.2,128,35.70 N,69.80 E,M,-
25/01/2023,21:53:05,Tajikistan,5.8,134,37.52 N,72.28 E,M,-
25/01/2023,19:49:46,"Sichuan, China",5.6,54,29.75 N,102.10 E,A,-
25/01/2023,16:02:16,Kashmir-Xizang Border Region,5.8,18,35.43 N,79.87 E,M,-
24/01/2023,17:26:18,India-Pakistan border Region,4.1,62,24.53 N,69.45 E,M,-
22/01/2023,07:03:24,Tajikistan-Xinjiang Border Region,4.9,120,38.07 N,73.02 E,M,-
22/01/2023,05:40:17,Tajikistan,4.5,204,37.11 N,72.11 E,M,-
22/01/2023,03:34:44,"Hindu Kush Region,Afghanistan",4.9,127,36.54 N,70.45 E,M,-
21/01/2023,16:35:26,Afghanistan-Tajikistan Border Region,4.0,140,36.31 N,72.33 E,M,-
21/01/2023,11:35:26,"70 Km NE of Chitral, near Booni",4.1,40,36.31 N,72.23 E,M,-
21/01/2023,11:08:32,"Hindu Kush Region,Afghanistan",3.8,36,36.56 N,70.64 E,M,-
21/01/2023,10:13:04,"Hindu Kush Region,Afghanistan",3.6,193,36.50 N,71.00 E,M,-
21/01/2023,04:07:30,Afghanistan-Tajikistan Border Region,4.5,120,38.76 N,70.50 E,M,-
21/01/2023,04:07:29,Afghanistan-Tajikistan Border Region,4.8,163,38.75 N,70.54 E,M,-
21/01/2023,02:12:03,"Hindu Kush Region,Afghanistan",4.4,110,36.37 N,70.37 E,M,-
21/01/2023,00:58:11,"24 KM East of Besham, KPK",2.1,5,34.92 N,73.17 E,M,-
20/01/2023,22:13:05,Afghanistan-Tajikistan Border Region,3.8,151,36.26 N,71.12 E,M,-
20/01/2023,03:46:07,Tajikistan,4.6,120,39.09 N,70.46 E,M,-
19/01/2023,11:30:42,37 KM West of Chitral,5.6,92,35.89 N,71.39 E,A,-
19/01/2023,05:26:55,"70 KM NE of Bisham, KPK",3.2,15,35.85 N,73.17 E,M,-
19/01/2023,05:26:42,Northwestern Kashmir,3.3,14,36.04 N,73.10 E,M,-
18/01/2023,10:08:14,Turkey Iran Border Region,5.5,42,38.53 N,44.89 E,A,-
16/01/2023,11:46:30,Southeastern Afghanistan,4.9,198,34.07 N,67.59 E,M,-
15/01/2023,13:55:23,Tajikistan-Xinjiang Border Region,5.2,175,38.15 N,74.72 E,M,-
13/01/2023,08:33:55,Southeastern Afghanistan,3.7,70,34.78 N,70.43 E,M,-
13/01/2023,04:29:04,Afghanistan-Tajikistan Border Region,4.3,144,36.86 N,71.42 E,M,-
12/01/2023,04:26:34,20 Km NW of Gilgit,3.0,24,36.06 N,74.06 E,M,-
12/01/2023,04:26:09,Northwestern Kashmir,3.6,17,36.84 N,74.84 E,M,-
11/01/2023,14:01:15,"67 KM NE of Zhob, Balochistan",2.6,25,31.50 N,70.11 E,M,-
10/01/2023,02:59:49,"Hindu Kush Region,Afghanistan",3.7,165,36.56 N,70.97 E,M,-
09/01/2023,10:57:09,Afghanistan-Tajikistan Border Region,3.8,123,36.93 N,71.16 E,M,-
09/01/2023,04:48:18,Afghanistan-Tajikistan Border Region,4.9,147,36.68 N,71.01 E,M,-
09/01/2023,04:48:10,Afghanistan-Tajikistan Border Region.,4.5,180,36.64 N,71.26 E,M,-
08/01/2023,22:33:21,Afghanistan-Tajikistan Border Region,3.7,119,37.05 N,71.67 E,M,-
08/01/2023,17:42:31,Kashmir-India Border Region,3.4,19,33.34 N,76.63 E,M,-
05/01/2023,14:25:52,"Hindu Kush Region,Afghanistan",5.8,173,36.53 N,70.63 E,M,-
05/01/2023,14:25:46,Afghanistan-Tajikistan Border Region,6.5,217,36.46 N,71.11 E,M,-
04/01/2023,10:04:30,India-Pakistan border Region,4.6,13,31.80 N,74.40 E,M,-
04/01/2023,10:04:18,India-Pakistan border Region,4.2,21,30.35 N,73.79 E,A,-
04/01/2023,01:49:12,10 KM North of Karimabad,3.5,16,36.41 N,74.67 E,M,-
04/01/2023,00:26:02,27 KM Northwest of Chilas,2.5,18,35.65 N,73.99 E,M,-
02/01/2023,08:14:29,Afghanistan-Tajikistan Border Region,4.5,140,37.64 N,69.81 E,M,-
02/01/2023,07:03:15,"Noorpur Thal, Punjab",3.0,18,32.01 N,71.90 E,M,-
02/01/2023,01:43:37,"Hindu Kush Region,Afghanistan",4.3,214,36.48 N,70.54 E,M,-
01/01/2023,21:59:08,Tajikistan,4.4,162,37.58 N,72.17 E,M,-
01/01/2023,21:24:30,"45 KM North of Rakhni, Balochistan",3.8,45,30.43 N,37.69 E,M,-
01/01/2023,18:09:20,10 Km Northeast of Kaghan KPK,2.1,10,34.71 N,73.43 E,M,-
01/01/2023,06:39:47,"Hindu Kush Region,Afghanistan",5.2,179,36.28 N,70.99 E,M,-
30/12/2022,05:28:17,Afghanistan-Tajikistan Border Region,3.4,170,37.78 N,71.58 E,M,-
30/12/2022,01:45:18,Afghanistan-Tajikistan Border Region,4.8,220,36.50 N,71.81 E,M,-
29/12/2022,23:40:43,Afghanistan-Tajikistan Border Region,2.7,180,36.55 N,71.58 E,M,-
29/12/2022,20:21:21,"Hindu Kush Region,Afghanistan",3.8,80,36.72 N,70.13 E,M,-
29/12/2022,13:45:50,Afghanistan-Tajikistan Border Region,4.2,215,36.82 N,71.52 E,M,-
28/12/2022,19:58:53,Afghanistan-Tajikistan Border Region,3.2,90,36.51 N,71.46 E,M,-
27/12/2022,21:13:58,Afghanistan-Tajikistan Border Region,3.3,105,36.78 N,71.85 E,M,-
27/12/2022,04:34:52,"Hindu Kush Region,Afghanistan",3.8,115,36.78 N,70.93 E,M,-
27/12/2022,02:16:48,32km SW of Kulachi,4.3,10,31.85 N,70.12 E,M,-
27/12/2022,01:03:21,Southwestern Kashmir,3.2,20,34.67 N,74.30 E,M,-
26/12/2022,02:56:59,"Hindu Kush Region,Afghanistan",5.2,161,36.97 N,70.49 E,M,-
26/12/2022,02:47:00,Afghanistan-Tajikistan Border Region,3.9,140,37.06 N,71.59 E,M,-
24/12/2022,02:56:34,Afghanistan-Tajikistan Border Region,4.0,180,37.15 N,71.91 E,M,-
24/12/2022,01:35:39,Afghanistan-Tajikistan Border Region,2.5,22,36.58 N,71.44 E,M,-
24/12/2022,01:11:44,Afghanistan-Tajikistan Border Region,3.6,160,36.53 N,71.05 E,M,-
23/12/2022,23:35:42,Afghanistan-Tajikistan Border Region,3.2,195,36.61 N,71.24 E,M,-
23/12/2022,17:13:01,Tajikistan,3.3,144,37.49 N,72.14 E,M,-
23/12/2022,00:07:11,Southwestern Kashmir,3.1,16,34.57 N,74.73 E,M,-
22/12/2022,22:10:55,"Hindu Kush Region,Afghanistan",3.5,180,36.96 N,70.93 E,M,-
22/12/2022,20:12:18,Southwestern Kashmir,3.4,25,34.63 N,74.16 E,M,-
22/12/2022,13:15:13,Tajikistan-Xinjiang Border Region,3.6,170,38.48 N,73.46 E,M,-
22/12/2022,04:51:07,Tajikistan,3.8,128,37.27 N,72.00 E,M,-
21/12/2022,19:33:16,Afghanistan-Tajikistan Border Region,3.9,195,36.72 N,71.04 E,M,-
21/12/2022,06:27:42,"Hindu Kush Region,Afghanistan",4.0,170,36.52 N,71.00 E,M,-
21/12/2022,05:25:45,47km NE of Bela,4.1,10,26.38 N,66.76 E,M,-
21/12/2022,02:27:01,Afghanistan-Tajikistan Border Region,4.9,138,36.53 N,71.44 E,M,-
18/12/2022,22:01:12,Afghanistan-Tajikistan Border Region,3.4,112,37.16 N,71.56 E,M,-
18/12/2022,20:06:40,"Hindu Kush Region,Afghanistan",3.4,156,36.50 N,70.96 E,M,-
18/12/2022,13:54:13,"Southern Xinjiang, China",4.2,168,38.27 N,75.19 E,M,-
18/12/2022,11:28:42,Afghanistan-Tajikistan Border Region,4.2,183,36.55 N,71.27 E,M,-
17/12/2022,15:47:11,Afghanistan-Tajikistan Border Region,3.5,71,36.54 N,71.62 E,M,-
17/12/2022,14:24:16,"Southern Xinjiang, China",3.9,308,37.70 N,76.96 E,M,-
17/12/2022,09:47:46,Tajikistan-Xinjiang Border Region,3.9,87,38.33 N,73.17 E,M,-
17/12/2022,03:26:59,Tajikistan,4.5,120,39.01 N,69.02 E,M,-
15/12/2022,17:07:28,"Hindu Kush Region,Afghanistan",4.1,59,35.58 N,70.93 E,M,-
14/12/2022,07:53:51,Afghanistan-Tajikistan Border Region,3.9,90,36.61 N,71.51 E,M,-
13/12/2022,20:17:11,Southeastern Afghanistan,3.3,20,34.60 N,69.01 E,M,-
13/12/2022,14:14:28,Northern and Central Iran,4.9,10,33.88 N,57.24 E,A,-
13/12/2022,02:04:59,"Hindu Kush Region,Afghanistan",4.4,129,36.71 N,67.34 E,M,-
12/12/2022,03:55:45,"Hindu Kush Region,Afghanistan",3.9,110,36.56 N,70.85 E,M,-
12/12/2022,02:11:03,Afghanistan-Tajikistan Border Region,4.7,252,36.48 N,71.18 E,M,-
11/12/2022,14:12:23,Afghanistan-Tajikistan Border Region,3.6,110,36.37 N,71.09 E,M,-
11/12/2022,09:53:31,Afghanistan-Tajikistan Border Region,4.7,193,36.94 N,71.25 E,M,-
11/12/2022,07:30:24,Afghanistan-Tajikistan Border Region,3.2,110,37.02 N,70.64 E,A,-
11/12/2022,03:13:53,Afghanistan-Tajikistan Border Region,4.3,222,36.76 N,71.05 E,M,-
11/12/2022,01:52:48,Southeastern Afghanistan,4.4,20,34.67 N,69.25 E,M,-
11/12/2022,01:31:01,Afghanistan-Tajikistan Border Region,3.9,129,36.81 N,71.34 E,M,-
11/12/2022,01:28:46,"Hindu Kush Region,Afghanistan",3.7,104,36.11 N,70.17 E,M,-
10/12/2022,23:12:28,Tajikistan,3.9,158,37.40 N,72.20 E,M,-
10/12/2022,15:17:09,Afghanistan-Tajikistan Border Region,4.3,169,36.78 N,71.30 E,M,-
09/12/2022,00:46:14,Afghanistan-Tajikistan Border Region,3.6,118,36.44 N,71.22 E,M,-
08/12/2022,20:01:42,Afghanistan-Tajikistan Border Region,3.9,24,36.67 N,71.52 E,M,-
08/12/2022,11:26:46,Afghanistan-Tajikistan Border Region,3.8,170,37.17 N,71.90 E,M,-
08/12/2022,10:05:46,Afghanistan-Tajikistan Border Region,4.1,216,36.97 N,71.80 E,M,-
06/12/2022,16:03:48,Afghanistan-Tajikistan Border Region,4.9,10,38.92 N,70.79 E,A,-
05/12/2022,12:07:42,Tajikistan,4.8,202,37.49 N,73.18 E,M,-
05/12/2022,06:55:17,Afghanistan-Tajikistan Border Region,3.6,110,36.40 N,71.23 E,M,-
03/12/2022,15:54:13,"Hindu Kush Region,Afghanistan",4.4,121,36.81 N,70.28 E,M,-
03/12/2022,02:59:37,Afghanistan-Tajikistan Border Region,4.5,115,36.24 N,71.23 E,M,-
03/12/2022,01:21:30,Afghanistan-Tajikistan Border Region,4.4,90,36.08 N,71.53 E,M,-
02/12/2022,07:50:14,Afghanistan-Tajikistan Border Region,4.2,145,36.78 N,71.47 E,M,-
01/12/2022,18:18:11,Southern Iran,4.4,10,26.75 N,55.31 E,A,-
01/12/2022,18:18:11,Southern Iran,4.4,10,26.75 N,55.31 E,A,-
30/11/2022,17:18:05,Southern Iran,4.5,10,26.72 N,55.26 E,A,-
30/11/2022,17:18:05,Southern Iran,4.5,10,26.72 N,55.26 E,A,-
30/11/2022,15:17:43,Southern Iran,5.7,10,26.87 N,55.30 E,A,-
30/11/2022,15:17:43,Southern Iran,5.7,10,26.87 N,55.30 E,A,-
29/11/2022,21:02:55,"Hindu Kush Region,Afghanistan",4.0,160,36.62 N,70.36 E,M,-
29/11/2022,20:21:09,"Hindu Kush Region,Afghanistan",4.3,90,36.50 N,70.67 E,M,-
29/11/2022,18:32:25,27 Km North of Chakwal punjab,3.5,57,33.19 N,72.87 E,M,-
29/11/2022,12:48:46,25 Km East of Balakot,3.3,9,34.58 N,73.63 E,M,-
29/11/2022,06:31:06,Kyrgystan-Xinjiang Border Reg.,5.6,10,40.57 N,76.37 E,A,-
29/11/2022,05:33:42,Afghanistan-Tajikistan Border Region,4.8,90,37.46 N,69.27 E,M,-
27/11/2022,19:58:43,"Southern Xinjiang, China",5.3,10,39.73 N,74.41 E,A,-
27/11/2022,11:56:51,Afghanistan-Tajikistan Border Region,3.8,130,36.60 N,71.14 E,M,-
26/11/2022,12:37:47,"Hindu Kush Region,Afghanistan",3.9,117,36.36 N,69.40 E,M,-
25/11/2022,16:49:34,Afghanistan-Tajikistan Border Region,5.0,129,36.77 N,71.12 E,M,-
24/11/2022,22:15:35,Northwestern Kashmir,2.8,28,35.98 N,74.69 E,M,-
24/11/2022,10:17:36,Northern India,4.9,85,28.76 N,74.99 E,A,-
24/11/2022,08:00:06,"Hindu Kush Region,Afghanistan",4.1,200,36.35 N,70.93 E,M,-
23/11/2022,08:45:23,"Hindu Kush Region,Afghanistan",5.1,114,36.65 N,70.99 E,M,-
23/11/2022,01:08:15,Turkey,5.8,5,40.89 N,30.99 E,A,-
21/11/2022,15:02:05,Afghanistan-Tajikistan Border Region,4.2,199,36.50 N,71.56 E,M,-
21/11/2022,05:36:59,Tajikistan,5.3,129,38.00 N,72.94 E,A,-
20/11/2022,19:29:45,Tajikistan,3.5,96,38.33 N,72.95 E,M,-
20/11/2022,03:39:57,"Hindu Kush Region,Afghanistan",3.7,120,36.45 N,70.59 E,M,-
19/11/2022,08:41:17,9 Km West of Timergara,3.9,113,34.85 N,71.67 E,M,-
17/11/2022,13:59:34,Southern Iran,5.1,10,26.82 N,55.28 E,A,-
17/11/2022,08:35:30,29 Km west of Talagang punjab,4.9,13,32.96 N,72.07 E,M,-
17/11/2022,00:28:18,"Hokkaido, Japan Region",5.0,27,41.15 N,142.19 E,A,-
16/11/2022,16:02:57,Northern India,4.0,120,31.75 N,76.91 E,M,-
13/11/2022,22:12:00,14 KM North of Faisalabad,4.0,18,31.55 N,73.03 E,M,-
12/11/2022,17:28:09,Afghanistan-Tajikistan Border Region,4.3,208,36.64 N,71.25 E,M,-
12/11/2022,07:08:10,Afghanistan-Tajikistan Border Region,5.5,193,36.39 N,71.32 E,M,-
11/11/2022,18:44:24,Southern Iran,4.8,127,27.85 N,56.16 E,A,-
11/11/2022,16:30:00,Afghanistan-Tajikistan Border Region,3.3,129,37.26 N,71.21 E,M,-
10/11/2022,05:01:07,Eastern Xizang-India Border Reg.,5.5,10,28.49 N,94.43 E,A,-
10/11/2022,05:01:07,Eastern Xizang-India Border Reg.,5.5,10,28.49 N,94.43 E,A,-
09/11/2022,10:09:43,Myanmar-china Border Region,5.5,10,22.50 N,101.91 E,A,-
08/11/2022,06:27:04,Myanmar-India Border Region,4.8,119,23.06 N,94.61 E,A,-
07/11/2022,05:31:58,Tajikistan,4.1,190,38.48 N,72.15 E,M,-
07/11/2022,03:25:33,Afghanistan-Tajikistan Border Region,5.8,163,36.95 N,71.30 E,M,-
06/11/2022,15:51:10,"Hindu Kush Region,Afghanistan",3.2,120,36.66 N,70.56 E,M,-
06/11/2022,03:03:09,Northern India,5.2,152,30.70 N,78.22 E,M,-
04/11/2022,08:08:06,Tajikistan,3.2,150,37.40 N,72.14 E,M,-
03/11/2022,21:31:51,62 Km NE of Qilla Saifullah Balochistan,3.2,29,31.23 N,68.58 E,M,-
03/11/2022,11:15:20,Afghanistan-Tajikistan Border Region,3.7,35,37.10 N,71.92 E,M,-
02/11/2022,12:37:21,"Hindu Kush Region,Afghanistan",3.8,130,36.26 N,70.36 E,M,-
02/11/2022,09:13:26,"Southern Xinjiang, China",4.5,10,41.16 N,91.36 E,A,-
31/10/2022,16:09:17,Eastern Arabian Sea,5.2,189,22.40 N,59.48 E,A,-
31/10/2022,09:41:26,Afghanistan-Tajikistan Border Region,3.8,49,37.26 N,71.58 E,A,-
30/10/2022,18:31:01,52 Km Southeast of Kharan,4.8,48,28.22 N,65.88 E,M,-
30/10/2022,14:41:04,Afghanistan-Tajikistan Border Region,3.7,115,36.39 N,71.30 E,M,-
30/10/2022,09:34:20,"Hindu Kush Region,Afghanistan",3.8,120,36.68 N,70.95 E,M,-
30/10/2022,05:01:37,6 KM North of Besham KPK,2.9,11,34.99 N,72.87 E,M,-
30/10/2022,01:50:41,Southeastern Afghanistan,3.1,40,34.59 N,70.60 E,M,-
29/10/2022,10:57:42,87 KM East of Bela,3.9,11,26.31 N,67.20 E,M,-
29/10/2022,04:13:06,Afghanistan-Tajikistan Border Region,3.8,50,36.39 N,71.42 E,M,-
29/10/2022,04:13:04,Afghanistan-Tajikistan Border Region,3.7,127,36.33 N,71.46 E,M,-
25/10/2022,17:17:48,56 KM East of Hyderabad,3.5,14,25.52 N,68.93 E,M,-
25/10/2022,16:54:22,67 Km Southwest of Nawabshah,4.5,15,26.07 N,67.69 E,M,-
25/10/2022,08:41:06,Tajikistan,3.4,40,37.82 N,72.92 E,M,-
24/10/2022,00:48:34,Afghanistan-Tajikistan Border Region,3.8,110,37.28 N,71.95 E,M,-
23/10/2022,16:25:33,Southeastern Afghanistan,3.5,120,34.45 N,69.80 E,M,-
23/10/2022,15:07:05,"Southern Xinjiang, China",5.4,185,37.73 N,77.47 E,M,-
23/10/2022,14:24:51,Tajikistan-Xinjiang Border Region,4.9,145,37.26 N,74.73 E,M,-
23/10/2022,11:02:07,26 KM Northeast of Mardan kpk,2.6,10,34.39 N,72.24 E,M,-
22/10/2022,18:16:55,Mid Indian Ridge,5.0,36,28.43 N,74.34 E,A,-
22/10/2022,04:14:17,15 Km West of Haripur kpk,2.4,24,34.03 N,72.75 E,M,-
21/10/2022,13:02:41,Southeastern Afghanistan,3.2,101,34.66 N,70.61 E,M,-
21/10/2022,04:07:19,"Hindu Kush Region,Afghanistan",4.1,91,36.59 N,70.15 E,M,-
21/10/2022,04:07:12,"Hindu Kush Region,Afghanistan",3.7,186,36.67 N,70.91 E,M,-
21/10/2022,02:24:34,South east Indian Ridge,4.7,25,31.26 N,58.76 E,A,-
20/10/2022,08:33:49,"Hindu Kush Region,Afghanistan",5.0,236,36.82 N,70.01 E,M,-
20/10/2022,04:50:12,Southeastern Afghanistan,3.3,146,34.40 N,70.50 E,M,-
19/10/2022,20:35:00,Afghanistan-Tajikistan Border Region,4.6,160,36.10 N,71.15 E,M,-
19/10/2022,16:20:13,Afghanistan-Tajikistan Border Region,4.1,24,36.27 N,72.17 E,M,-
19/10/2022,09:22:45,Xizang,4.7,10,28.66 N,86.16 E,A,-
19/10/2022,04:35:36,"Qinghai, China",5.3,10,37.70 N,92.34 E,A,-
19/10/2022,02:37:43,Kashmir-Xizang Border Region,3.8,20,33.46 N,78.27 E,M,-
17/10/2022,21:20:12,"Hindu Kush Region,Afghanistan",4.8,250,35.09 N,68.67 E,A,-
16/10/2022,15:07:41,Northern and Central Iran,4.0,29,34.22 N,58.94 E,M,-
16/10/2022,15:02:07,"Southern Xinjiang, China",4.8,10,40.17 N,83.20 E,A,-
16/10/2022,11:46:40,10 Km South of Balakot,3.3,15,34.46 N,73.40 E,M,-
16/10/2022,10:34:08,14 Km Southeast Of Barkhan,3.8,19,29.80 N,69.64 E,M,-
16/10/2022,08:54:33,"Southern Xinjiang, China",5.2,10,39.47 N,78.08 E,A,-
15/10/2022,13:16:57,"Hindu Kush Region,Afghanistan",3.5,90,36.04 N,70.80 E,M,-
15/10/2022,11:30:09,Afghanistan-Tajikistan Border Region,3.1,150,36.31 N,71.61 E,M,-
14/10/2022,09:01:43,22 Km Northwest of Chakwal punjab,2.9,12,33.02 N,72.61 E,M,-
13/10/2022,23:58:23,Southern India,4.7,5,23.45 N,82.45 E,A,-
12/10/2022,03:29:32,42 Km Northeast of Dalbandin,4.2,25,29.11 N,64.80 E,M,-
11/10/2022,13:38:02,33 Km Northwest of Bannu Kpk,2.8,70,33.19 N,70.32 E,M,-
11/10/2022,08:10:22,Afghanistan-Tajikistan Border Region,5.3,120,37.00 N,66.81 E,M,-
11/10/2022,05:13:34,"Hindu Kush Region,Afghanistan",3.4,120,35.64 N,70.67 E,M,-
10/10/2022,23:23:04,Afghanistan-Tajikistan Border Region,5.7,173,37.00 N,71.51 E,M,-
10/10/2022,03:20:08,"Hindu Kush Region,Afghanistan",3.9,120,36.36 N,70.75 E,M,-
08/10/2022,08:37:57,Afghanistan-Tajikistan Border Region,4.1,200,36.80 N,71.32 E,M,-
06/10/2022,17:38:27,Afghanistan-Tajikistan Border Region,3.4,90,36.27 N,71.28 E,M,-
05/10/2022,06:04:58,Northwestern Kashmir,3.5,29,35.99 N,74.23 E,M,-
04/10/2022,06:40:50,Northwestern Kashmir,3.0,35,35.29 N,73.88 E,M,-
03/10/2022,08:12:02,Afghanistan-Tajikistan Border Region,3.7,90,37.02 N,69.93 E,M,-
02/10/2022,23:28:27,"Hindu Kush Region,Afghanistan",4.7,93,36.15 N,70.81 E,A,-
02/10/2022,17:49:43,Northeastern china,4.9,32,38.35 N,113.83 E,A,-
02/10/2022,13:24:04,Afghanistan-Tajikistan Border Region,4.7,219,37.63 N,68.66 E,M,-
02/10/2022,12:41:50,Kashmir-Xizang Border Region,4.5,60,36.97 N,78.15 E,M,-
